areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E92000001,England,nation,2021-06-18,10
E92000001,England,nation,2021-06-17,5
E92000001,England,nation,2021-06-16,12
E92000001,England,nation,2021-06-15,15
E92000001,England,nation,2021-06-14,9
E92000001,England,nation,2021-06-13,7
E92000001,England,nation,2021-06-12,14
E92000001,England,nation,2021-06-11,6
E92000001,England,nation,2021-06-10,9
E92000001,England,nation,2021-06-09,6
E92000001,England,nation,2021-06-08,9
E92000001,England,nation,2021-06-07,5
E92000001,England,nation,2021-06-06,7
E92000001,England,nation,2021-06-05,6
E92000001,England,nation,2021-06-04,11
E92000001,England,nation,2021-06-03,10
E92000001,England,nation,2021-06-02,12
E92000001,England,nation,2021-06-01,3
E92000001,England,nation,2021-05-31,8
E92000001,England,nation,2021-05-30,8
E92000001,England,nation,2021-05-29,7
E92000001,England,nation,2021-05-28,6
E92000001,England,nation,2021-05-27,8
E92000001,England,nation,2021-05-26,12
E92000001,England,nation,2021-05-25,6
E92000001,England,nation,2021-05-24,8
E92000001,England,nation,2021-05-23,8
E92000001,England,nation,2021-05-22,3
E92000001,England,nation,2021-05-21,9
E92000001,England,nation,2021-05-20,6
E92000001,England,nation,2021-05-19,3
E92000001,England,nation,2021-05-18,3
E92000001,England,nation,2021-05-17,6
E92000001,England,nation,2021-05-16,6
E92000001,England,nation,2021-05-15,8
E92000001,England,nation,2021-05-14,3
E92000001,England,nation,2021-05-13,6
E92000001,England,nation,2021-05-12,9
E92000001,England,nation,2021-05-11,14
E92000001,England,nation,2021-05-10,10
E92000001,England,nation,2021-05-09,8
E92000001,England,nation,2021-05-08,9
E92000001,England,nation,2021-05-07,10
E92000001,England,nation,2021-05-06,7
E92000001,England,nation,2021-05-05,13
E92000001,England,nation,2021-05-04,9
E92000001,England,nation,2021-05-03,10
E92000001,England,nation,2021-05-02,12
E92000001,England,nation,2021-05-01,8
E92000001,England,nation,2021-04-30,12
E92000001,England,nation,2021-04-29,13
E92000001,England,nation,2021-04-28,15
E92000001,England,nation,2021-04-27,13
E92000001,England,nation,2021-04-26,10
E92000001,England,nation,2021-04-25,12
E92000001,England,nation,2021-04-24,7
E92000001,England,nation,2021-04-23,19
E92000001,England,nation,2021-04-22,15
E92000001,England,nation,2021-04-21,17
E92000001,England,nation,2021-04-20,17
E92000001,England,nation,2021-04-19,16
E92000001,England,nation,2021-04-18,16
E92000001,England,nation,2021-04-17,21
E92000001,England,nation,2021-04-16,16
E92000001,England,nation,2021-04-15,18
E92000001,England,nation,2021-04-14,9
E92000001,England,nation,2021-04-13,20
E92000001,England,nation,2021-04-12,27
E92000001,England,nation,2021-04-11,21
E92000001,England,nation,2021-04-10,19
E92000001,England,nation,2021-04-09,20
E92000001,England,nation,2021-04-08,32
E92000001,England,nation,2021-04-07,24
E92000001,England,nation,2021-04-06,23
E92000001,England,nation,2021-04-05,11
