areaCode,areaName,areaType,date,newCasesByPublishDate
K02000001,United Kingdom,overview,2021-08-14,29520
K02000001,United Kingdom,overview,2021-08-13,32700
K02000001,United Kingdom,overview,2021-08-12,33074
K02000001,United Kingdom,overview,2021-08-11,29612
K02000001,United Kingdom,overview,2021-08-10,23510
K02000001,United Kingdom,overview,2021-08-09,25161
K02000001,United Kingdom,overview,2021-08-08,27429
K02000001,United Kingdom,overview,2021-08-07,28612
K02000001,United Kingdom,overview,2021-08-06,31808
K02000001,United Kingdom,overview,2021-08-05,30215
K02000001,United Kingdom,overview,2021-08-04,29312
K02000001,United Kingdom,overview,2021-08-03,21691
K02000001,United Kingdom,overview,2021-08-02,21952
K02000001,United Kingdom,overview,2021-08-01,24470
K02000001,United Kingdom,overview,2021-07-31,26144
K02000001,United Kingdom,overview,2021-07-30,29622
K02000001,United Kingdom,overview,2021-07-29,31117
K02000001,United Kingdom,overview,2021-07-28,27734
K02000001,United Kingdom,overview,2021-07-27,23511
K02000001,United Kingdom,overview,2021-07-26,24950
K02000001,United Kingdom,overview,2021-07-25,29173
K02000001,United Kingdom,overview,2021-07-24,31795
K02000001,United Kingdom,overview,2021-07-23,36389
K02000001,United Kingdom,overview,2021-07-22,39906
K02000001,United Kingdom,overview,2021-07-21,44104
K02000001,United Kingdom,overview,2021-07-20,46558
K02000001,United Kingdom,overview,2021-07-19,39950
K02000001,United Kingdom,overview,2021-07-18,48161
K02000001,United Kingdom,overview,2021-07-17,54674
K02000001,United Kingdom,overview,2021-07-16,51870
K02000001,United Kingdom,overview,2021-07-15,48553
K02000001,United Kingdom,overview,2021-07-14,42302
K02000001,United Kingdom,overview,2021-07-13,36660
K02000001,United Kingdom,overview,2021-07-12,34471
K02000001,United Kingdom,overview,2021-07-11,31772
K02000001,United Kingdom,overview,2021-07-10,32367
K02000001,United Kingdom,overview,2021-07-09,35707
K02000001,United Kingdom,overview,2021-07-08,32551
K02000001,United Kingdom,overview,2021-07-07,32548
K02000001,United Kingdom,overview,2021-07-06,28773
K02000001,United Kingdom,overview,2021-07-05,27334
K02000001,United Kingdom,overview,2021-07-04,24248
K02000001,United Kingdom,overview,2021-07-03,24885
K02000001,United Kingdom,overview,2021-07-02,27125
K02000001,United Kingdom,overview,2021-07-01,27989
K02000001,United Kingdom,overview,2021-06-30,26068
K02000001,United Kingdom,overview,2021-06-29,20479
K02000001,United Kingdom,overview,2021-06-28,22868
K02000001,United Kingdom,overview,2021-06-27,14876
K02000001,United Kingdom,overview,2021-06-26,18270
K02000001,United Kingdom,overview,2021-06-25,15810
K02000001,United Kingdom,overview,2021-06-24,16703
K02000001,United Kingdom,overview,2021-06-23,16135
K02000001,United Kingdom,overview,2021-06-22,11625
K02000001,United Kingdom,overview,2021-06-21,10633
K02000001,United Kingdom,overview,2021-06-20,9284
K02000001,United Kingdom,overview,2021-06-19,10321
