Date,Local Authority,National Lockdown,Circuit Breaker,Local Lockdown,Alert Level,Alert Level 0,Alert Level 1,Alert Level 2,Alert Level 3,Alert Level 4,Pfizer Vaccine Approved,Astrazeneca Vaccine Approved,Moderna Vaccine Approved,Pfizer Vaccine Rollout,Astrazeneca Vaccine Rollout,Moderna Vaccine Rollout,Second Dose Rollout,Booster Vaccine Rollout,Priority Group 1 to 4 offered Vaccine,Priority Group 5 to 9 offered Vaccine,Under 50s offered Vaccine,Masks Mandatory,All Schools Closed,Primary Schools Closed,Seconday Schools Closed
2021-06-18,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-19,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-20,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-21,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-22,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-23,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-24,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-25,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-26,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-27,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-28,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-29,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-06-30,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-01,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-02,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-03,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-04,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-05,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-06,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-07,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-08,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-09,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-10,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-11,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-12,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-13,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-14,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-15,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-16,Pembrokeshire,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-17,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-18,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-19,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-20,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-21,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-22,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-23,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-24,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-25,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-26,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-27,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-28,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-29,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-30,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-07-31,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-01,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-02,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-03,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-04,Pembrokeshire,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-05,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-06,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-07,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-08,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-09,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-10,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-11,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-12,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-13,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-14,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-15,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-16,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-17,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-18,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-19,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-20,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-21,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-22,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-23,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-24,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-25,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-26,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-27,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-28,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-29,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-30,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-08-31,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-01,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-02,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-03,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-04,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-05,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-06,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-07,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-08,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-09,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-10,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-11,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-12,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-13,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-14,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-15,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
2021-09-16,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-17,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-18,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-19,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-20,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-21,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-22,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-23,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-24,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-25,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-26,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-27,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-28,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-29,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2021-09-30,Pembrokeshire,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
