Date,Local Authority,National Lockdown,Circuit Breaker,Local Restrictions,All Schools Closed,Pfizer Vaccine Approved,Astrazeneca Vaccine Approved,Moderna Vaccine Approved,Pfizer Vaccine Rollout,Astrazeneca Vaccine Rollout,Moderna Vaccine Rollout,Second Dose Rollout,Booster Vaccine Rollout,Vaccines Available 80+,Vaccines Available 70+,Vaccines Available 60+,Vaccines Available 50+,Vaccines Available 40+,Vaccines Available 30+,Vaccines Available 20+,Vaccines Available 18+
2020-05-08,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,Derry City and Strabane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,Derry City and Strabane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
